model_type,loss_type,fit_formula_name,held_out_dataset,held_out_K,predicted_d,predicted_d_continuous,predicted_d_nearest_grid,observed_d,abs_error,squared_error,train_n_datasets,train_n_unique_k,status,loo_mae,loo_rmse,loo_n
scvi,nb,linear,aifi_immune_full,29.0,6.045182136297208,6.045182136297208,6.0,4.0,2.045182136297208,4.18276997062921,4,4,ok,10.40505897925701,16.76904581813669,5.0
scvi,nb,linear,paul15,19.0,6.382928225389868,6.382928225389868,6.0,2.0,4.382928225389868,19.21005982891918,4,4,ok,10.40505897925701,16.76904581813669,5.0
scvi,nb,linear,scvi_pbmc12k,9.0,5.289609410791081,5.289609410791081,6.0,4.0,1.2896094107910807,1.6630924324009184,4,4,ok,10.40505897925701,16.76904581813669,5.0
scvi,nb,linear,ts1_all_cells,177.0,46.28474576271192,46.28474576271192,48.0,10.0,36.28474576271192,1316.5827750646408,4,4,ok,10.40505897925701,16.76904581813669,5.0
scvi,nb,linear,ts2_lung,34.0,3.977170638905032,3.977170638905032,4.0,12.0,8.022829361094969,64.36579095724751,4,4,ok,10.40505897925701,16.76904581813669,5.0
scvi,nb,power,aifi_immune_full,29.0,5.353368409321316,5.353368409321316,6.0,4.0,1.353368409321316,1.8316060513489092,4,4,ok,3.9145524120630326,4.571839992009078,5.0
scvi,nb,power,paul15,19.0,5.433242246553742,5.433242246553742,6.0,2.0,3.4332422465537418,11.787152323521385,4,4,ok,3.9145524120630326,4.571839992009078,5.0
scvi,nb,power,scvi_pbmc12k,9.0,2.325445349117131,2.325445349117131,2.0,4.0,1.674554650882869,2.804133278793447,4,4,ok,3.9145524120630326,4.571839992009078,5.0
scvi,nb,power,ts1_all_cells,177.0,15.524118146509144,15.524118146509144,16.0,10.0,5.524118146509144,30.51588129659162,4,4,ok,3.9145524120630326,4.571839992009078,5.0
scvi,nb,power,ts2_lung,34.0,4.412521392951906,4.412521392951906,4.0,12.0,7.587478607048094,57.56983161241249,4,4,ok,3.9145524120630326,4.571839992009078,5.0
scvi,nb,sqrt,aifi_immune_full,29.0,6.253835696450018,6.253835696450018,6.0,4.0,2.253835696450018,5.0797753465923385,4,4,ok,5.648286786789013,7.372916420730502,5.0
scvi,nb,sqrt,paul15,19.0,6.225807363149759,6.225807363149759,6.0,2.0,4.225807363149759,17.857447870450716,4,4,ok,5.648286786789013,7.372916420730502,5.0
scvi,nb,sqrt,scvi_pbmc12k,9.0,4.3997756932204455,4.3997756932204455,4.0,4.0,0.3997756932204455,0.1598206048898877,4,4,ok,5.648286786789013,7.372916420730502,5.0
scvi,nb,sqrt,ts1_all_cells,177.0,23.885269800038287,23.885269800038287,24.0,10.0,13.885269800038287,192.8007174198553,4,4,ok,5.648286786789013,7.372916420730502,5.0
scvi,nb,sqrt,ts2_lung,34.0,4.523254618913441,4.523254618913441,4.0,12.0,7.476745381086559,55.90172149359919,4,4,ok,5.648286786789013,7.372916420730502,5.0
scvi,nb,logk,aifi_immune_full,29.0,6.0104865258589495,6.0104865258589495,6.0,4.0,2.010486525858949,4.042056070660388,4,4,ok,13.905406255182902,24.266960810340123,5.0
scvi,nb,logk,paul15,19.0,6.441240784509714,6.441240784509714,6.0,2.0,4.441240784509714,19.724619705992456,4,4,ok,13.905406255182902,24.266960810340123,5.0
scvi,nb,logk,scvi_pbmc12k,9.0,5.49675995741663,5.49675995741663,6.0,4.0,1.4967599574166304,2.240290370125833,4,4,ok,13.905406255182902,24.266960810340123,5.0
scvi,nb,logk,ts1_all_cells,177.0,63.39968362819901,63.39968362819901,64.0,10.0,53.39968362819901,2851.526211591746,4,4,ok,13.905406255182902,24.266960810340123,5.0
scvi,nb,logk,ts2_lung,34.0,3.821139620069808,3.821139620069808,4.0,12.0,8.178860379930192,66.89375711439185,4,4,ok,13.905406255182902,24.266960810340123,5.0
