dataset,model_loss,mean_ari,mean_ami,n
aifi_immune_full,scvi:nb,0.3078882036933481,0.6223736313529628,12
paul15,ae:mse,0.3205415178266431,0.5039591507484752,36
paul15,ae:nb,0.2400362998297442,0.42850164519284084,36
paul15,ae:zinb,0.23418612455370738,0.41983306314098434,36
paul15,scvi:nb,0.3291423783762367,0.5342696508362308,36
paul15,scvi:zinb,0.3274893955154543,0.5305919949024356,36
paul15,vae:mse,0.013583977319658307,0.03381277393954892,36
paul15,vae:nb,0.2965551000251449,0.483264884129946,36
paul15,vae:zinb,0.3045984120225713,0.4898516661202746,36
scvi_pbmc12k,ae:mse,0.660269559725573,0.7454489740942383,12
scvi_pbmc12k,ae:nb,0.6184362243658489,0.6914766346153917,12
scvi_pbmc12k,scvi:nb,0.5948223724231743,0.7445254917154376,12
scvi_pbmc12k,vae:mse,0.022564629217746674,0.03410955626350605,12
scvi_pbmc12k,vae:nb,0.5958136245391441,0.7272994901270974,12
ts1_all_cells,ae:nb,0.00699303300861245,0.12028521908644248,4
ts1_all_cells,scvi:nb,0.261604292874326,0.6535686675405556,12
ts2_lung,scvi:nb,0.39491480836991005,0.7246832844532299,12
