dataset,model_loss,mean_best_val_loss,mean_total_epochs,mean_runtime_s,mean_peak_cpu_mb,mean_peak_gpu_mb,n
aifi_immune_full,scvi:nb,,30.0,3339.197739402453,,,12
paul15,ae:mse,0.521652967235059,98.63888888888889,7.578425149122874,2.1803381178114147,172.019287109375,36
paul15,ae:nb,1335.8262398160468,100.0,8.476872430907356,2.1737150881025524,193.831298828125,36
paul15,ae:zinb,1331.6829094457878,99.44444444444444,9.397110210524666,2.163213358985053,160.54484049479166,36
paul15,scvi:nb,,100.0,21.46309570471446,,,36
paul15,scvi:zinb,,100.0,22.465280764632755,,,36
paul15,vae:mse,0.6518241905273342,47.05555555555556,3.620697968535953,2.1023798518710666,34.6075439453125,36
paul15,vae:nb,1334.0842336826222,99.38888888888889,9.813005725542704,2.1898557345072427,56.4195556640625,36
paul15,vae:zinb,1331.4999873060785,100.0,10.661644452148014,2.1935155391693115,84.2476806640625,36
scvi_pbmc12k,ae:mse,0.33468247867223777,60.0,14.600736379623413,2.0932228565216064,81.91666666666667,12
scvi_pbmc12k,ae:nb,671.623751112445,60.0,20.39895325899124,2.106734116872152,56.308430989583336,12
scvi_pbmc12k,scvi:nb,,60.0,50.70615780353546,,,12
scvi_pbmc12k,vae:mse,0.4047766344200779,34.833333333333336,9.412858307361603,2.120142936706543,81.95963541666667,12
scvi_pbmc12k,vae:nb,678.7424709096298,60.0,19.458766400814056,2.1193124453226724,56.375895182291664,12
ts1_all_cells,ae:nb,391.61930193738715,30.75,295.8011477589607,,,4
ts1_all_cells,scvi:nb,,80.0,2377.019353787104,,,12
ts2_lung,scvi:nb,,30.0,227.6279916961988,,,12
