dataset,model_type,loss_type,n_runs,n_success,n_failed,latent_dims_tested,n_seeds
aifi_immune_full,scvi,nb,12,12,0,"4,6,8,10,12,16,24,32",2
paul15,ae,mse,36,36,0,"2,4,6,8,10,12,16,20,24,32,48,64",3
paul15,ae,nb,36,36,0,"2,4,6,8,10,12,16,20,24,32,48,64",3
paul15,ae,zinb,36,36,0,"2,4,6,8,10,12,16,20,24,32,48,64",3
paul15,scvi,nb,36,36,0,"2,4,6,8,10,12,16,20,24,32,48,64",3
paul15,scvi,zinb,36,36,0,"2,4,6,8,10,12,16,20,24,32,48,64",3
paul15,vae,mse,36,36,0,"2,4,6,8,10,12,16,20,24,32,48,64",3
paul15,vae,nb,36,36,0,"2,4,6,8,10,12,16,20,24,32,48,64",3
paul15,vae,zinb,36,36,0,"2,4,6,8,10,12,16,20,24,32,48,64",3
scvi_pbmc12k,ae,mse,12,12,0,"2,4,8,16,24,32",2
scvi_pbmc12k,ae,nb,12,12,0,"2,4,8,16,24,32",2
scvi_pbmc12k,scvi,nb,12,12,0,"2,4,8,16,24,32",2
scvi_pbmc12k,vae,mse,12,12,0,"2,4,8,16,24,32",2
scvi_pbmc12k,vae,nb,12,12,0,"2,4,8,16,24,32",2
ts1_all_cells,ae,nb,4,4,0,"8,16,24,32",1
ts1_all_cells,scvi,nb,12,12,0,"4,6,8,10,12,16,24,32",2
ts2_lung,scvi,nb,12,12,0,"4,6,8,10,12,16,24,32",2
