dataset,model_loss,mean_sil_kmeans,mean_sil_true,n
aifi_immune_full,scvi:nb,0.10912569767485057,0.0660860349113742,12
paul15,ae:mse,0.21201231868730647,0.015445305386997933,36
paul15,ae:nb,0.26407468981213034,-0.051658051851619396,36
paul15,ae:zinb,0.2776906622780693,-0.0616247698716405,36
paul15,scvi:nb,0.1986555299825138,0.06058883449683582,36
paul15,scvi:zinb,0.1967883068654272,0.05990317029257611,36
paul15,vae:mse,0.16307511842913092,-0.2432230143911308,36
paul15,vae:nb,0.23025930010610152,0.018312838859856087,36
paul15,vae:zinb,0.2354554107619656,0.016373777105602297,36
scvi_pbmc12k,ae:mse,0.41190504282712936,0.42876490702231723,12
scvi_pbmc12k,ae:nb,0.37073641767104465,0.2797803692519664,12
scvi_pbmc12k,scvi:nb,0.28675157949328417,0.2873620639244715,12
scvi_pbmc12k,vae:mse,0.22340965022643403,-0.14924262339870134,12
scvi_pbmc12k,vae:nb,0.3721635416150093,0.30583855261405307,12
ts1_all_cells,ae:nb,0.6877969801425934,-0.6275247484445572,4
ts1_all_cells,scvi:nb,0.18380661308765409,-0.03636694345429226,12
ts2_lung,scvi:nb,0.2255465413133303,0.12418053609629469,12
