dataset,model_loss,mean_ari,mean_sil,posterior_collapse_flag
aifi_immune_full,scvi:nb,0.3078882036933481,0.10912569767485057,False
paul15,ae:mse,0.3205415178266431,0.21201231868730647,False
paul15,ae:nb,0.2400362998297442,0.26407468981213034,False
paul15,ae:zinb,0.23418612455370738,0.2776906622780693,False
paul15,scvi:nb,0.3291423783762367,0.1986555299825138,False
paul15,scvi:zinb,0.3274893955154543,0.1967883068654272,False
paul15,vae:mse,0.013583977319658307,0.16307511842913092,True
paul15,vae:nb,0.2965551000251449,0.23025930010610152,False
paul15,vae:zinb,0.3045984120225713,0.2354554107619656,False
scvi_pbmc12k,ae:mse,0.660269559725573,0.41190504282712936,False
scvi_pbmc12k,ae:nb,0.6184362243658489,0.37073641767104465,False
scvi_pbmc12k,scvi:nb,0.5948223724231743,0.28675157949328417,False
scvi_pbmc12k,vae:mse,0.022564629217746674,0.22340965022643403,True
scvi_pbmc12k,vae:nb,0.5958136245391441,0.3721635416150093,False
ts1_all_cells,ae:nb,0.00699303300861245,0.6877969801425934,True
ts1_all_cells,scvi:nb,0.261604292874326,0.18380661308765409,False
ts2_lung,scvi:nb,0.39491480836991005,0.2255465413133303,False
