index,ari,ami,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,best_val_loss,centrality_variance,batch_silhouette,batch_knn_entropy,total_epochs,runtime_seconds
ari,1.0,0.9087055375006394,0.1950189797469244,0.912288032785235,-0.012712948199682099,-0.12214542341963795,-0.07851056640967465,0.8402669632925472,0.1132369299221357,0.026303749067065937,0.5254724289823417
ami,0.9087055375006394,1.0,0.08908431888933196,0.8975017652592461,0.1297792712031929,-0.12023712522139314,-0.21940284578831704,0.6044493882091212,-0.5003337041156841,-0.11607091708252065,0.7173015128533677
silhouette_kmeans,0.1950189797469244,0.08908431888933196,1.0,0.08823522765116053,-0.43394109200981107,0.19754658061765024,0.04987314366793101,0.06918798665183537,-0.4794215795328142,0.05494246450607059,-0.024392934689824897
silhouette_true_labels,0.912288032785235,0.8975017652592461,0.08823522765116053,1.0,0.12682440082365753,-0.05564612508236978,-0.06562009878766657,0.742825361512792,0.13948832035595105,-0.0066951622977067,0.6627745704878237
reconstruction_loss,-0.012712948199682099,0.1297792712031929,-0.43394109200981107,0.12682440082365753,1.0,0.34984760421608596,0.05702781711634261,0.7241379310344828,0.1474972191323693,0.06516035111905397,0.4141274565454498
best_val_loss,-0.12214542341963795,-0.12023712522139314,0.19754658061765024,-0.05564612508236978,0.34984760421608596,1.0,0.6914733588961504,,,0.613027530157566,0.20008266590692167
centrality_variance,-0.07851056640967465,-0.21940284578831704,0.04987314366793101,-0.06562009878766657,0.05702781711634261,0.6914733588961504,1.0,-0.5938461538461538,-0.16692307692307692,0.7912343587195406,-0.15533541985296484
batch_silhouette,0.8402669632925472,0.6044493882091212,0.06918798665183537,0.742825361512792,0.7241379310344828,,-0.5938461538461538,1.0,0.014460511679644048,-0.6739498346918168,-0.6418242491657397
batch_knn_entropy,0.1132369299221357,-0.5003337041156841,-0.4794215795328142,0.13948832035595105,0.1474972191323693,,-0.16692307692307692,0.014460511679644048,1.0,-0.6932055442544401,0.6115684093437153
total_epochs,0.026303749067065937,-0.11607091708252065,0.05494246450607059,-0.0066951622977067,0.06516035111905397,0.613027530157566,0.7912343587195406,-0.6739498346918168,-0.6932055442544401,1.0,-0.09712696405034127
runtime_seconds,0.5254724289823417,0.7173015128533677,-0.024392934689824897,0.6627745704878237,0.4141274565454498,0.20008266590692167,-0.15533541985296484,-0.6418242491657397,0.6115684093437153,-0.09712696405034127,1.0
