model_loss,mean_score,rank,dataset,n_cells
scvi:nb,0.3078882036933481,1.0,aifi_immune_full,1821725
ae:mse,0.3205415178266431,3.0,paul15,2730
ae:nb,0.2400362998297442,6.0,paul15,2730
ae:zinb,0.23418612455370738,7.0,paul15,2730
scvi:nb,0.3291423783762367,1.0,paul15,2730
scvi:zinb,0.3274893955154543,2.0,paul15,2730
vae:mse,0.013583977319658307,8.0,paul15,2730
vae:nb,0.2965551000251449,5.0,paul15,2730
vae:zinb,0.3045984120225713,4.0,paul15,2730
ae:mse,0.660269559725573,1.0,scvi_pbmc12k,11989
ae:nb,0.6184362243658489,2.0,scvi_pbmc12k,11989
scvi:nb,0.5948223724231743,4.0,scvi_pbmc12k,11989
vae:mse,0.022564629217746674,5.0,scvi_pbmc12k,11989
vae:nb,0.5958136245391441,3.0,scvi_pbmc12k,11989
ae:nb,0.00699303300861245,2.0,ts1_all_cells,483151
scvi:nb,0.261604292874326,1.0,ts1_all_cells,483151
scvi:nb,0.39491480836991005,1.0,ts2_lung,65847
