dataset,model_type,loss_type,K,recommended_d,selection_metric,selection_score,mean_ari,mean_silhouette_kmeans,report_scope
aifi_immune_full,scvi,nb,29,4,ari,0.3415165431753761,0.3415165431753761,0.2349282950162887,exploratory
paul15,ae,mse,19,48,ari,0.34246253201526106,0.34246253201526106,0.1870396534601847,exploratory
paul15,ae,nb,19,24,ari,0.25749641143683405,0.25749641143683405,0.26092077791690826,exploratory
paul15,ae,zinb,19,16,ari,0.24922422699319893,0.24922422699319893,0.2727896571159363,exploratory
paul15,scvi,nb,19,2,ari,0.40404907182634875,0.40404907182634875,0.38846665620803833,exploratory
paul15,scvi,zinb,19,2,ari,0.4020591430463618,0.4020591430463618,0.39195353786150616,exploratory
paul15,vae,mse,19,32,ari,0.020509312332571635,0.020509312332571635,0.12303114930788672,exploratory
paul15,vae,nb,19,24,ari,0.32518015060488165,0.32518015060488165,0.2131632715463638,exploratory
paul15,vae,zinb,19,64,ari,0.3307984201961305,0.3307984201961305,0.23950298627217606,exploratory
scvi_pbmc12k,ae,mse,9,16,ari,0.6806592629523297,0.6806592629523297,0.39072950184345245,exploratory
scvi_pbmc12k,ae,nb,9,32,ari,0.6783935513789068,0.6783935513789068,0.31944210827350616,exploratory
scvi_pbmc12k,scvi,nb,9,4,ari,0.6662135919395632,0.6662135919395632,0.40721380710601807,exploratory
scvi_pbmc12k,vae,mse,9,4,ari,0.03090704236323745,0.03090704236323745,0.19535049796104426,exploratory
scvi_pbmc12k,vae,nb,9,32,ari,0.6814694216016282,0.6814694216016282,0.38019540905952454,exploratory
ts1_all_cells,ae,nb,177,16,ari,0.0078098258390874,0.0078098258390874,0.7006580829620361,exploratory
ts1_all_cells,scvi,nb,177,10,ari,0.2703901399451687,0.2703901399451687,0.2041497677564621,exploratory
ts2_lung,scvi,nb,34,12,ari,0.430245140388703,0.430245140388703,0.2399705052375793,exploratory
